Year,Country,Air Pollution Index,CancerDeath,Inflation,Count,AvgTemperature,GDP
2001,Bangladesh,0.458007743,62349.9192408,1.555,130088702,34.58931506849315,53991289844.0
2002,Bangladesh,0.467024173,62737.93281139999,2.8600000000000003,132478086,7.574246575342466,54724081491.0
2003,Bangladesh,0.470236447,63138.20625055,5.58,134791603,-1.0745205479452056,60158929188.0
2004,Bangladesh,0.483546971,63919.54701456,6.8,136986432,-4.695355191256831,65108544250.0
2005,Bangladesh,0.501448619,65425.472321680005,7.52,139035505,11.475068493150683,69442943089.0
2006,Bangladesh,0.517785333,66840.96035790001,7.185,140921167,40.75260273972603,71819083684.0
2007,Bangladesh,0.525813425,68235.693222,9.805,142660376,-1.2486338797814212,79611888213.0
2008,Bangladesh,0.548609755,69180.43075989999,7.81,144304167,-19.790983606557376,91631278239.0
2009,Bangladesh,0.552143973,70279.2943422,4.71,145924797,38.05397260273973,102478000000.0
2010,Bangladesh,0.570728954,72429.1864232,7.623333333333334,147575430,47.04818181818182,115279000000.0
1995,Barbados,0.003589161,470.0008701750001,3.37,265955,80.7668493150685,2216974096.0
1996,Barbados,0.003365991,473.339515278,1.9966666666666668,267049,78.48770491803279,2363645403.0
1997,Barbados,0.003835381,478.065873764,10.036666666666669,268187,80.78,2498384130.0
1998,Barbados,0.004214399,480.928579748,-2.7566666666666664,269336,79.06219178082192,2817083478.0
1999,Barbados,0.004167794,482.9164445910001,0.4533333333333333,270451,80.05150684931506,2951822205.0
2000,Barbados,0.004893728,490.10999195,2.47,271515,79.73606557377049,3059500000.0
2001,Barbados,0.005013302,488.760371024,4.0,272500,79.21835616438356,3054500000.0
2002,Barbados,0.004753768,489.627943212,0.985,273425,78.76,3106500000.0
2003,Barbados,0.004855646,490.796814548,2.7266666666666666,274329,70.43342465753425,3209500000.0
2004,Barbados,0.004096525,500.272865156,0.3766666666666666,275284,77.39480874316939,3444500000.0
2005,Barbados,0.004735639,503.648311594,6.8566666666666665,276323,82.06191780821918,3819500000.0
2006,Barbados,0.004582007,505.031722651,10.203333333333331,277477,81.6690410958904,4217500000.0
2007,Barbados,0.00444685,507.429954092,2.6766666666666663,278700,78.61013698630137,4674000000.0
2008,Barbados,0.004480926,513.281026303,9.87,279946,78.32540983606557,4785000000.0
2009,Barbados,0.005008473,523.828237511,1.4466666666666663,281104,80.62931506849316,4465500000.0
2010,Barbados,0.005004536,533.950509244,11.64,282131,82.04273972602739,4530000000.0
2011,Barbados,0.004798627,543.5425708670001,9.43,282987,81.38575342465754,4657500000.0
2012,Barbados,0.006421274,550.582021537,4.53,283700,80.63524590163935,4610000000.0
2013,Barbados,0.007000518,563.995050352,1.81,284296,80.76575342465753,4677000000.0
2014,Barbados,0.006680488,581.0181195099999,1.163333333333333,284825,80.16657534246575,4696500000.0
2015,Barbados,0.006615532,599.7739650280001,-2.32,285324,80.44699453551912,4715000000.0
2016,Barbados,0.006561242,617.23054416,1.1766666666666667,285796,79.60136612021857,4830000000.0
1995,Belarus,0.177280407,21457.217907309994,878.775,10194000,44.31260273972603,13489222222.0
1996,Belarus,0.179544776,21371.44371191,43.7425,10160000,41.64972677595628,14756846154.0
1997,Belarus,0.17216856,21398.95239166,72.3175,10117000,42.97095890410959,14108846154.0
1998,Belarus,0.165191684,21391.214792410003,65.89,10069000,41.29835616438356,15264369565.0
1999,Belarus,0.153683138,21401.95578895,255.9325,10026738,46.52821917808219,12152867470.0
2000,Belarus,0.147211028,20937.1718818,234.08,9979610,46.961202185792345,12738912134.0
2001,Belarus,0.143984223,21085.55224723,73.1275,9928549,45.367123287671234,12354820144.0
2002,Belarus,0.143178572,21194.78451647,52.98,9865548,44.938904109589046,14594249023.0
2003,Belarus,0.140619917,20728.84154905,43.55,9796749,44.60410958904109,17827791321.0
2004,Belarus,0.145840861,20682.50147869,14.888,9730146,44.71994535519126,23144351852.0
2005,Belarus,0.152446194,20603.25818751,7.394,9663915,45.14493150684932,30207567317.0
2006,Belarus,0.167151395,20158.441417340004,6.414,9604924,45.16767123287672,36954312354.0
2007,Belarus,0.163921824,19633.95750964,7.252,9560953,45.95643835616438,45277399814.0
2008,Belarus,0.178243665,19542.531447890007,18.04,9527985,46.17513661202185,60763483146.0
2009,Belarus,0.184126401,19575.062789160005,9.0325,9506765,44.62219178082192,50874078052.0
2010,Belarus,0.178705846,19721.229144080004,6.315,9490583,44.88657534246576,57222490769.0
2011,Belarus,0.180529019,19677.79566399,44.5325,9473172,46.5117808219178,61757788945.0
2012,Belarus,0.184606255,18678.87144279,46.88,9464495,45.111748633879785,65685102555.0
2013,Belarus,0.176472423,18338.202194750003,12.6475,9465997,46.32,75527984234.0
2014,Belarus,0.172562007,17904.29791085,14.698,9474511,46.42109589041096,78813839984.0
2015,Belarus,0.160369204,17953.463741330004,7.146000000000001,9489616,47.4448087431694,56454734397.0
2016,Belarus,0.157474,18116.84743786,7.324000000000001,9501534,44.82295081967213,47722657821.0
1995,Belgium,0.240527123,27770.795738599994,2.132,10136811,51.70109589041096,288026000000.0
1996,Belgium,0.23506646,27272.265880230003,1.992,10156637,48.191803278688525,279201000000.0
1997,Belgium,0.224673022,26658.719478150004,0.786,10181245,51.13260273972603,252708000000.0
1998,Belgium,0.219138814,26892.01233744,0.782,10203008,49.65123287671233,258528000000.0
1999,Belgium,0.198493851,26594.35632157,0.8400000000000001,10226419,51.711780821917806,258159000000.0
2000,Belgium,0.191161513,26416.83061399,4.272,10251250,52.31502732240437,236205000000.0
2001,Belgium,0.188697367,26822.750124,2.846,10286570,51.58739726027397,236541000000.0
2002,Belgium,0.1768029,26950.80139815,-0.6719999999999999,10332785,50.67506849315069,257158000000.0
2003,Belgium,0.176133873,26618.09092952,5.586,10376133,52.32383561643836,317382000000.0
2004,Belgium,0.177087478,26588.277527260005,3.2060000000000004,10421137,51.62978142076503,368537000000.0
2005,Belgium,0.168497831,26697.44434632,3.61,10478617,52.14027397260274,385571000000.0
2006,Belgium,0.158417762,26772.76859984,3.154,10547958,52.05589041095891,407918000000.0
2007,Belgium,0.15217702,27172.66878382,2.226,10625700,51.73095890410959,470324000000.0
2008,Belgium,0.140601105,27636.44304216,6.434,10709973,51.06994535519125,515224000000.0
2009,Belgium,0.124509481,27997.946168400005,-1.334,10796493,50.84958904109589,481346000000.0
2010,Belgium,0.125933297,28280.700302649995,3.144,10895586,48.83561643835616,480952000000.0
2011,Belgium,0.11556428,28594.724611710004,5.006,11038264,52.47561643835616,522646000000.0
2012,Belgium,0.110454076,28950.24389941999,3.1260000000000003,11106932,50.75737704918033,496181000000.0
2013,Belgium,0.110005333,29009.34910214,0.954,11159407,49.855342465753424,521643000000.0
2014,Belgium,0.100418325,28827.3244952,-0.67,11209057,52.709315068493154,534678000000.0
2015,Belgium,0.101615496,29275.096236170004,0.306,11274196,51.10136612021858,462150000000.0
2016,Belgium,0.097890371,29659.06959833,1.378,11331422,49.9155737704918,475740000000.0
1995,Belize,0.002585333,132.149120895,2.296666666666667,206963,-44.33719008264463,620422500.0
1996,Belize,0.002450298,139.03405598499995,4.843333333333334,213664,79.80081967213114,641660000.0
1997,Belize,0.002787714,151.564317997,1.143333333333333,221580,80.37232876712329,654582900.0
