"Stkcd","Trdmnt","Mnshrtrd","Mnvaltrd","Msmvosd"
"000002","2016-11","2383329709","63113524686.089996","261924747.34"
"000002","2016-10","1308260599","33831656517.650002","241926045.34999999"
"000002","2016-09","2872686457","70671442450.770004","254061180.05000001"
"000002","2016-08","5299791984","120837795902.35001","242023126.43000001"
"000002","2016-07","4861542374","89006674282.570007","166396966.99000001"
"000002","2015-12","4023961495","76758125108.220001","237274532.90000001"
"000002","2015-11","1526507463","21994557388.779999","146366238.68000001"
"000002","2015-10","901195712","12141516862.629999","132768844.23999999"
"000002","2015-09","1420291858","19186244348.360001","123639165.12"
"000002","2015-08","3167320041","44749396330.110001","134105658.40000001"
"000002","2015-07","8240796966","119906385558.64999","137798422.90000001"
"000002","2015-06","6716989059","99449371971.539993","141101230.99000001"
"000002","2015-05","7266022333","105379360486.5","139290819.18000001"
"000002","2015-04","8827346448","125734895291.14999","141717488.50999999"
"000002","2015-03","5738466710","74792946796.470001","134146280.22"
"000002","2015-02","2598023288","32879763094.919998","123760135.51000001"
"000002","2015-01","5549188620","75036202521.800003","127351606.11"
"000002","2014-12","6499492958","77133357719.429993","134922814.40000001"
"000002","2014-11","2761624018","27150254526.279999","105423852.68000001"
"000002","2014-10","1327366249","12365319318.379999","90915983.049999997"
"000002","2014-09","1556463782","14593143150.219999","88788162.170000002"
"000039","2019-08","162215248","1615073877","15112652.9"
"000039","2019-07","156471917","1665833184.0699999","15749840.51"
"000039","2019-06","97595723","1241343278.3499999","16252009.34"
"000039","2019-05","140564139","1793147525","15758407.220000001"
"000039","2019-04","335297250","5116216819.1700001","17925572.129999999"
"000039","2019-03","421429607","5788078490.8500004","18914394.350000001"
"000039","2019-02","272956105","3472748362.0900002","16769511.880000001"
"000039","2019-01","140575430","1584108956.6199999","14120304.26"
"000039","2018-12","97327541","1073985940.8299999","13410195.5"
"000039","2018-11","159009746","1790733004.4300001","13980572.439999999"
"000039","2018-10","162807779","1696161422.4100001","13638346.279999999"
"000039","2018-09","159054577","1812670624.3499999","15007226.060000001"
"000039","2018-08","175532532","2015777180.6099999","14183349.630000001"
"000039","2018-07","180739234","2279164022.5599999","15747065.890000001"
"000039","2018-06","156513782","2251723558.6700001","16835314.969999999"
"000039","2018-05","260152501","4153119035.5300002","20206181.620000001"
"000039","2018-04","181645824","2905604265.3699999","19331205.02"
"000039","2018-03","287337444","5127440343","21207282.620000001"
"000039","2018-02","219113728","4136368017.7199998","23620760.870000001"
"000039","2018-01","397469135","8865994997.4300003","27121475.859999999"
"000039","2017-12","453813029","9582840232.5100002","28884480.52"
"000039","2017-11","423537967","8514419741.25","24637134.579999998"
"000039","2017-10","196117181","3679971417.8899999","24321111.82"
"000039","2017-09","220160649","4095677289.4400001","22928650.899999999"
"000039","2017-08","338765939","6389340093.0299997","23914014.41"
"000039","2017-07","447760203","8033471273.2600002","24301594.77"
