Year,Country,Population,Nitrogen_oxide_Nox,Sulphur_dioxide_SO2,Carbon_monoxide_CO,Organic_carbon_OC,NMVOCs,Black_carbon_BC,Ammonia_NH3,CancerDeath,GDP,Inflation,AvgTemperature
1995,Albania,3187784.0,0.0001174838373664,0.0001491535305369,0.000186908081033,0.0003380791515881,0.0002321700879511,0.0001236878087979,0.0006273139399513,2663.751865491999,2392764853.0,13.05,
1995,United Arab Emirates,2415090.0,0.0027883659215735,0.0025323978986687,0.0010622490356274,0.0003623102342487,0.0052254173493357,0.0025000454317171,0.000151820445679,558.1517050950001,65743666576.0,4.33,27.572831050228316
1995,Argentina,34828170.0,0.0068052622518393,0.0010879891249207,0.0044154259737932,0.0034974342663998,0.0047371932211571,0.0063860153219694,0.0071334727128012,55183.79650820001,258032000000.0,3.9725,17.098173515981735
1995,Australia,18072000.0,0.0131717935985442,0.0119694927518001,0.0074828141749598,0.0028025546516183,0.0085770106244611,0.0041894438701562,0.0072821620612702,31798.17038701,367916000000.0,5.4,16.28164383561644
1995,Austria,7948278.0,0.001821389038131,0.0003500426591091,0.0013812377291969,0.0012303604317147,0.0015054662768703,0.0011478179742109,0.0011793452868238,18247.82211169,241038000000.0,0.8220000000000001,8.855251141552511
1995,Burundi,5987043.0,9.964743763777632e-05,2.417048902903894e-05,0.0008740060218995,0.001937916492492,0.000620674050827,0.0011808793005296,0.0004643475555287,3992.4808355700006,1000428394.0,19.73,26.269560243317148
1995,Belgium,10136811.0,0.00376132092594,0.0020062537463252,0.0016693356813712,0.0008320099239625,0.0018550174286699,0.002679647110244,0.001720231897774,27770.795738599994,288026000000.0,2.132,10.1103500761035
1995,Benin,5905558.0,0.0001309528422841,1.555558930004036e-05,0.000612999123912,0.0015247834211668,0.0005867685509439,0.0009247270020926,0.0005823071597756,2986.0865708680003,2169627251.0,16.78,27.598401826484015
1995,Bangladesh,115169930.0,0.0026758269918064,0.000636544992285,0.003226267071359,0.0066585927710375,0.0040413990663036,0.0048295334212927,0.0126300319246942,58591.47891541,37939748769.0,5.173333333333333,26.28143074581431
1995,Bulgaria,8406067.0,0.0015887545789699,0.009669954274275,0.0007651443788353,0.0005619036732672,0.0010068568678262,0.00061327345803,0.0013868130188081,16260.763715260004,18983303571.0,57.47,6.808226228542752
1995,Bahrain,563697.0,0.0003813420914226,0.0001483618846736,0.0002837419551702,1.888447759886873e-05,0.000524189728595,8.613689031561911e-05,2.737777424405153e-05,268.309493399,5849467819.0,3.1133333333333333,26.731506849315068
1995,Belarus,10194000.0,0.0019303938279725,0.0019405562984671,0.0009097789445072,0.0008420942425978,0.0019919479075235,0.0011526792763506,0.0031592462715868,21457.217907309994,13489222222.0,878.775,5.187823439878235
1995,Belize,206963.0,4.1434179704475845e-05,5.735072935984101e-06,3.03158457908044e-05,2.638190514227581e-05,2.9444717898059228e-05,1.3054330243705062e-05,2.356385296589089e-05,132.149120895,620422500.0,2.296666666666667,27.20194367921641
1995,Bolivia,7622338.0,0.0004885326859613,8.64161681583699e-05,0.0006981797316233,0.0005018486599998,0.0006950724860736,0.0005173442536132,0.0011977924364911,6825.243662595998,6715220507.0,10.03,6.6654490106544895
1995,Brazil,162019896.0,0.0203270694457568,0.0119146941807253,0.0208663890828135,0.0229012472796914,0.0210380314548275,0.0236590028602206,0.0362676511342109,118618.9081161,769333000000.0,63.642500000000005,21.684982242516487
1995,Barbados,265955.0,6.656222517244153e-05,1.091257871582283e-05,3.872942752269658e-05,1.880730233792628e-05,3.68280752340219e-05,1.3344849905073727e-05,2.9694649318589237e-05,470.0008701750001,2216974096.0,3.37,27.0882800608828
1995,Central African Republic,3222656.0,6.105026007796412e-05,1.2713734689485068e-05,0.000327068131713,0.0010816500632631,0.0002812262897334,0.0006472613907176,0.0005016878984366,2265.605704807,1115389732.0,14.966666666666669,25.678424657534247
1995,Canada,29302311.0,0.0248150860336063,0.0189099021384369,0.0176835086034644,0.0068376695197571,0.020903813513986,0.0045643687085086,0.0073849959915267,58569.07342377,604032000000.0,2.668,4.784916286149163
1995,Switzerland,7040687.0,0.0012516453735764,0.0001953962541087,0.0007146954737982,0.0005493213111984,0.0013642589191151,0.0007430471611714,0.0008660181042138,14411.10303017,353133000000.0,1.21,9.050634195839676
1995,China,1204855000.0,0.1223101595264609,0.1693313623025979,0.3037283801258373,0.1900005929281381,0.1502320644559462,0.3046910423324539,0.1690089407097612,1702110.0632460003,734548000000.0,19.61,14.996742770167428
1995,Colombia,36421438.0,0.0036289523128021,0.0013220509379816,0.006714662786785,0.0055490607634997,0.0061270158321748,0.0044167396920726,0.0060027410387378,26117.12485143,92507279383.0,19.456,13.035768645357686
1995,Costa Rica,3545534.0,0.0004412816468617,0.000149139775274,0.0006904710701466,0.0004619932229748,0.0005514211573845,0.0003703347694039,0.0006136330817491,2780.1774131850007,11578594260.0,21.956666666666667,22.65388127853881
1995,Cyprus,855383.0,0.0001952445043505,0.0002938618478655,5.435812539693971e-05,4.80084512138164e-05,0.0001197593013289,0.0001872697847362,0.0001368435869932,910.2898834440002,9933133247.0,-2.5925,18.724200913242008
1995,Germany,81678051.0,0.0206274836652971,0.0129938491307498,0.0096560051037537,0.0051267644171311,0.0140029368381791,0.0116908182377029,0.0105534602010754,201416.8415092,2585790000000.0,1.886,9.687848290000932
1995,Denmark,5233373.0,0.0025999194261508,0.0010741065396047,0.0009528399937252,0.0005243372574821,0.0012887338777831,0.0009284217973333,0.0019006579840271,15406.63944087,185007000000.0,1.948,6.941095890410959
